['isotopologue.name', 'exomol_ID', 'wavenumber', 'K_mu', 'upper.energy', 'degeneracy', 'J', 'Tparity', 'Rparity', 'state', 'v', 'Lambda', 'Sigma', 'Omega', 'lower.energy', 'degeneracy', 'J', 'Tparity', 'Rparity', 'state', 'v', 'Lambda', 'Sigma', 'Omega']
['27Al16O', '1830 - 2029', 56.590473, 39.706506782510196, 11235.807392, 10.0, 4.5, '-', 'f', 'A2PI', 0, -1, -0.5, -1.5, 11179.216919, 12.0, 5.5, '+', 'f', 'X2Sigma+', 0, 0, 0.5, 0.5]
['27Al16O', '6630 - 6029', 56.656832, 39.26234350695781, 11366.099471, 34.0, 16.5, '-', 'f', 'A2PI', 0, -1, -0.5, -1.5, 11309.442639, 32.0, 15.5, '+', 'f', 'X2Sigma+', 0, 0, 0.5, 0.5]
['27Al16O', '6630 - 6429', 56.741326, 39.17180222400823, 11366.099471, 34.0, 16.5, '-', 'f', 'A2PI', 0, -1, -0.5, -1.5, 11309.358145, 34.0, 16.5, '+', 'e', 'X2Sigma+', 0, 0, 0.5, 0.5]
['27Al16O', '3620 - 3419', 56.865047, -26.305966123618763, 8749.119307, 20.0, 9.5, '+', 'f', 'X2Sigma+', 0, 0, 0.5, 0.5, 8692.25426, 18.0, 8.5, '-', 'f', 'A2PI', 0, -1, 0.5, -0.5]
['27Al16O', '3230 - 3429', 57.028224, 39.353320910010545, 11263.443289, 18.0, 8.5, '+', 'e', 'A2PI', 0, 1, 0.5, 1.5, 11206.415065, 18.0, 8.5, '-', 'f', 'X2Sigma+', 0, 0, -0.5, -0.5]
['27Al16O', '3230 - 3829', 57.077314, 39.27602479682162, 11263.443289, 18.0, 8.5, '+', 'e', 'A2PI', 0, 1, 0.5, 1.5, 11206.365975, 20.0, 9.5, '-', 'e', 'X2Sigma+', 0, 0, -0.5, -0.5]
['27Al16O', '834 - 633', 57.142402, 32.61220975625097, 12010.893517, 6.0, 2.5, '+', 'e', 'A2PI', 0, 1, -0.5, 0.5, 11953.751114, 4.0, 1.5, '-', 'e', 'X2Sigma+', 0, 0, -0.5, -0.5]
['27Al16O', '5220 - 5419', 57.490496, -25.87123269905378, 8805.734496, 28.0, 13.5, '+', 'f', 'X2Sigma+', 0, 0, 0.5, 0.5, 8748.244001, 28.0, 13.5, '-', 'e', 'A2PI', 0, -1, 0.5, -0.5]
['27Al16O', '4620 - 4019', 57.569618, -18.21655304365582, 8766.331601, 24.0, 11.5, '-', 'e', 'X2Sigma+', 0, 0, -0.5, -0.5, 8708.761982, 22.0, 10.5, '+', 'e', 'A2PI', 0, 1, -0.5, 0.5]
['27Al16O', '1434 - 833', 58.378994, 31.876534220511257, 12014.362942, 8.0, 3.5, '-', 'e', 'A2PI', 0, -1, 0.5, -0.5, 11955.983948, 6.0, 2.5, '+', 'e', 'X2Sigma+', 0, 0, 0.5, 0.5]
['27Al16O', '6030 - 5829', 58.471184, 38.10064800466425, 11349.81143, 32.0, 15.5, '+', 'f', 'A2PI', 0, 1, 0.5, 1.5, 11291.340247, 30.0, 14.5, '-', 'f', 'X2Sigma+', 0, 0, -0.5, -0.5]
['27Al16O', '6030 - 6229', 58.552529, 38.00638568489546, 11349.81143, 32.0, 15.5, '+', 'f', 'A2PI', 0, 1, 0.5, 1.5, 11291.258901, 32.0, 15.5, '-', 'e', 'X2Sigma+', 0, 0, -0.5, -0.5]
['27Al16O', '3030 - 2829', 58.837156, 38.12930726971236, 11255.054201, 16.0, 7.5, '-', 'e', 'A2PI', 0, -1, -0.5, -1.5, 11196.217045, 16.0, 7.5, '+', 'f', 'X2Sigma+', 0, 0, 0.5, 0.5]
['27Al16O', '3030 - 3229', 58.880598, 38.062792772587365, 11255.054201, 16.0, 7.5, '-', 'e', 'A2PI', 0, -1, -0.5, -1.5, 11196.173603, 18.0, 8.5, '+', 'e', 'X2Sigma+', 0, 0, 0.5, 0.5]
['27Al16O', '4220 - 3619', 58.947436, -26.60743378219311, 8761.507672, 22.0, 10.5, '-', 'f', 'X2Sigma+', 0, 0, -0.5, -0.5, 8702.560236, 20.0, 9.5, '+', 'f', 'A2PI', 0, 1, -0.5, 0.5]
['27Al16O', '1230 - 1829', 58.949591, 38.08711751706646, 11231.365096, 8.0, 3.5, '+', 'f', 'A2PI', 0, 1, 0.5, 1.5, 11172.415506, 10.0, 4.5, '-', 'f', 'X2Sigma+', 0, 0, -0.5, -0.5]
['27Al16O', '4820 - 4619', 59.259294, -18.497857905630816, 8780.119216, 26.0, 12.5, '+', 'e', 'X2Sigma+', 0, 0, 0.5, 0.5, 8720.859922, 24.0, 11.5, '-', 'e', 'A2PI', 0, -1, 0.5, -0.5]
['27Al16O', '5820 - 5619', 59.317485, -26.092137925267945, 8822.83936, 30.0, 14.5, '-', 'f', 'X2Sigma+', 0, 0, -0.5, -0.5, 8763.521875, 30.0, 14.5, '+', 'e', 'A2PI', 0, 1, -0.5, 0.5]
['27Al16O', '1634 - 1433', 59.498965, 31.203736064988885, 12018.828186, 10.0, 4.5, '+', 'e', 'A2PI', 0, 1, -0.5, 0.5, 11959.329221, 8.0, 3.5, '-', 'e', 'X2Sigma+', 0, 0, -0.5, -0.5]
